time_s,rms,peak
0.0,0.0,0.0
0.02,0.0,0.0
0.04,0.0,0.0
0.06,0.0,0.0
0.08,0.0,0.0
0.1,0.0,0.0
0.12,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18,0.0,0.0
0.2,0.0,0.0
0.22,0.0,0.0
0.24,0.0,0.0
0.26,0.0,0.0
0.28,0.0,0.0
0.3,0.0,0.0
0.32,0.0,0.0
0.34,0.0,0.0
0.36,0.0,0.0
0.38,0.0,0.0
0.4,0.0,0.0
0.42,0.0,0.0
0.44,0.0,0.0
0.46,0.0,0.0
0.48,0.0,0.0
0.5,0.0,0.0
0.52,0.0,0.0
0.54,0.0,0.0
0.56,0.0,0.0
0.58,0.0,0.0
0.6,0.0,0.0
0.62,0.0,0.0
0.64,0.0,0.0
0.66,0.0,0.0
0.68,0.0,0.0
0.7,0.0,0.0
0.72,0.0,0.0
0.74,0.0,0.0
0.76,0.0,0.0
0.78,0.0,0.0
0.8,0.0,0.0
0.82,0.0,0.0
0.84,0.0,0.0
0.86,0.0,0.0
0.88,0.0,0.0
0.9,0.0,0.0
0.92,0.0,0.0
0.94,0.0,0.0
0.96,0.0,0.0
0.98,0.0,0.0
1.0,0.0,0.0
1.02,0.0,0.0
1.04,0.0,0.0
1.06,0.0,0.0
1.08,0.0,0.0
1.1,0.0,0.0
1.12,0.0,0.0
1.14,0.0,0.0
1.16,0.0,0.0
1.18,0.0,0.0
1.2,0.0,0.0
1.22,0.0,0.0
1.24,0.0,0.0
1.26,0.0,0.0
1.28,0.0,0.0
1.3,0.0,0.0
1.32,0.0,0.0
1.34,0.0,0.0
1.36,0.0,0.0
1.38,0.0,0.0
1.4,0.022754846,0.11102294921875
1.42,0.031227088,0.11102294921875
1.44,0.031845722,0.085418701171875
1.46,0.022740535,0.072021484375
1.48,0.014383271,0.045501708984375
1.5,0.010169711,0.025665283203125
1.52,0.016509186,0.050048828125
1.54,0.022054572,0.05511474609375
1.56,0.021971898,0.05511474609375
1.58,0.016660772,0.051422119140625
1.6,0.012605793,0.0423583984375
1.62,0.11876769,0.51226806640625
1.64,0.16374198,0.51226806640625
1.66,0.16386916,0.51226806640625
1.68,0.11697569,0.350555419921875
1.7,0.08135257,0.266571044921875
1.72,0.05588514,0.20330810546875
1.74,0.032394756,0.1357421875
1.76,0.020779332,0.061431884765625
1.78,0.018050745,0.045654296875
1.8,0.01678509,0.0435791015625
1.82,0.016238192,0.04144287109375
1.84,0.017268045,0.04638671875
1.86,0.017408574,0.04638671875
1.88,0.018407524,0.04638671875
1.9,0.017463777,0.044708251953125
1.92,0.079084225,0.52264404296875
1.94,0.15320691,0.594085693359375
1.96,0.17957614,0.594085693359375
1.98,0.12810124,0.420654296875
2.0,0.09095827,0.31207275390625
2.02,0.06146566,0.208465576171875
2.04,0.041360047,0.120849609375
2.06,0.029001387,0.095123291015625
2.08,0.0210026,0.05584716796875
2.1,0.018781435,0.04534912109375
2.12,0.017831646,0.084259033203125
2.14,0.054613024,0.157379150390625
